npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  8/31/2026 9:56:20 AM ::1 GET /
 HTTP  8/31/2026 9:56:20 AM ::1 Returned 200 in 253 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/02efd5599d3504ed-s.p.otf
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/css/142171275cf85d7b.css
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/ghost-animation.0d1bf0e1.gif
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/webpack-4f18082c9192fbfb.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 2 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/1547cac5-f387e6fa0038a4b7.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/481-958e44541aa81664.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/main-app-9646e90fd95bd9dd.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/584bde89-9bbbc4b8d6eba1c9.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/a7c741d1-0ff7e29d7cb29cae.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/bc175d8c-7d4dd6fdc469b446.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 10 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 12 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/ab192eb5-68c646db5878c646.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 26 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 32 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/09a33358-905122f92ccb21f9.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 23 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/0e72c9cc-6a219936fa2ec251.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/420-f2e681714aaee82b.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/803-8e5d7a08fca1365e.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/186-2265af72f1e29e95.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 9 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/429-755d56b4f9ffcff3.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/71-6585452fa7d7b2b0.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/app/page-e396dce8f16199e1.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/537-2c3ab514abf22575.js
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/chunks/app/layout-7b3b530ba6c97ed4.js
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 8 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 12 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/react.ad6ea354.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/next-js.5dd1ade5.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/vue.0c86376f.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/nuxt.355a17d9.svg
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/typescript.ccdf44e2.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/javascript.80891722.png
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 15 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 16 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 16 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 15 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 15 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 18 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/jetbrains-mono-latin-wght-normal.a865edea.woff2
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/html5.5faed4ed.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/tailwindcss.6bc24ec7.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/shadcn-ui.39f50e25.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/pnpm.63ad8c1c.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/vite.715a2c90.png
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 6 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 5 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/turborepo.570ebb9a.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/framer-motion.cb65d1c6.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/tanstack.cedc5eee.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/golang.e8625278.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/nest-js.3c75d42d.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/express-js.9530f870.png
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 7 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 3 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 4 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/nodejs.86bf3895.png
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 8 ms
 HTTP  8/31/2026 9:56:21 AM ::1 Returned 200 in 1 ms
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/gin.9c0d7bb5.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/prisma.da1c033c.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/postgres.f7018783.png
 HTTP  8/31/2026 9:56:21 AM ::1 GET /_next/static/media/mysql.73de130e.svg
